accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate,f1,val_f1
0.4789135158061981,0.45160821080207825,0.7055889368057251,0.48191213607788086,0.5320969820022583,0.9399999976158142,0.9559999704360962,0.6434375643730164,0.8928571343421936,1.0,9.999999747378752e-05,0.5057626920633329,0.9433962166780205
0.541100800037384,0.5863195657730103,0.6823459267616272,0.5529623031616211,0.43937233090400696,0.9399999976158142,0.9616000056266785,0.5810613632202148,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.4896661373158744,0.9387755043621163
0.609006404876709,0.6560991406440735,0.6633793115615845,0.6441947817802429,0.4907275438308716,0.9399999976158142,0.967199981212616,0.49968311190605164,0.9230769276618958,0.9599999785423279,9.999999747378752e-05,0.557085032327717,0.9411764576612044
0.6783416867256165,0.7192426919937134,0.626358151435852,0.7067545056343079,0.6119828820228577,0.9399999976158142,0.9631999731063843,0.38872286677360535,0.9230769276618958,0.9599999785423279,9.999999747378752e-05,0.6559632873218435,0.9411764576612044
0.7112222909927368,0.7611782550811768,0.5864893198013306,0.7253414392471313,0.6818830370903015,0.9399999976158142,0.9639999866485596,0.33521077036857605,0.9230769276618958,0.9599999785423279,9.999999747378752e-05,0.702941184328833,0.9411764576612044
0.7298070192337036,0.7916382551193237,0.5580812692642212,0.7371512651443481,0.7161198258399963,0.9599999785423279,0.9616000056266785,0.30056437849998474,0.9599999785423279,0.9599999785423279,9.999999747378752e-05,0.726483359168635,0.9599999735423279
0.7348105907440186,0.8147304654121399,0.5312691330909729,0.7412280440330505,0.7232524752616882,0.9599999785423279,0.9567999839782715,0.2639329731464386,0.9599999785423279,0.9599999785423279,9.999999747378752e-05,0.7321299352999318,0.9599999735423279
0.7526804804801941,0.8351372480392456,0.5086489915847778,0.7568740844726562,0.7460770606994629,0.9599999785423279,0.9583999514579773,0.25052013993263245,0.9599999785423279,0.9599999785423279,9.999999747378752e-05,0.7514367853136092,0.9599999735423279
0.7762687802314758,0.8580844402313232,0.4746747612953186,0.7795389294624329,0.7717546224594116,0.9399999976158142,0.9567999839782715,0.22725260257720947,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.775627240345633,0.9387755043621163
0.8148677349090576,0.8856648206710815,0.43245893716812134,0.8259587287902832,0.7988587617874146,0.9599999785423279,0.9696000218391418,0.20906339585781097,0.9599999785423279,0.9599999785423279,9.999999747378752e-05,0.8121827431503101,0.9599999735423279
0.8470336198806763,0.9097297787666321,0.385003000497818,0.8523878455162048,0.840228259563446,0.9399999976158142,0.974399983882904,0.20523175597190857,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.8462643709113138,0.9387755043621163
0.8641887307167053,0.9286906719207764,0.3413580358028412,0.8665710091590881,0.8616262674331665,0.9399999976158142,0.9775999784469604,0.1991523802280426,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.8640915593147811,0.9387755043621163
0.8884918093681335,0.9416020512580872,0.30683454871177673,0.8843441605567932,0.8944365382194519,0.9399999976158142,0.972000002861023,0.22667549550533295,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.8893617135157551,0.9387755043621163
0.9006432890892029,0.9538553953170776,0.2715282738208771,0.8957746624946594,0.9072753190994263,0.9399999976158142,0.9727999567985535,0.19573353230953217,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.9014883076397657,0.9387755043621163
0.9170836210250854,0.9651858806610107,0.23647379875183105,0.9034482836723328,0.9343794584274292,0.9200000166893005,0.9728000164031982,0.1969195306301117,0.9200000166893005,0.9200000166893005,9.999999747378752e-05,0.9186535757232611,0.9200000116893006
0.9235168099403381,0.9711055159568787,0.212647944688797,0.9206798672676086,0.9272468090057373,0.9200000166893005,0.9760000109672546,0.1817762404680252,0.9200000166893005,0.9200000166893005,9.999999747378752e-05,0.9239516647290159,0.9200000116893006
0.9270907640457153,0.9748517870903015,0.19737379252910614,0.9153952598571777,0.9415121078491211,0.9399999976158142,0.9688000679016113,0.21647359430789948,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.9282700160175058,0.9387755043621163
0.9378127455711365,0.9821918606758118,0.1654130518436432,0.9275766015052795,0.9500713348388672,0.9399999976158142,0.9503999948501587,0.29193779826164246,0.9583333134651184,0.9200000166893005,9.999999747378752e-05,0.9386892166588268,0.9387755043621163
0.9406719207763672,0.9813263416290283,0.1675514131784439,0.9327731132507324,0.9500713348388672,0.9200000166893005,0.946399986743927,0.33572250604629517,0.9200000166893005,0.9200000166893005,9.999999747378752e-05,0.9413427572313647,0.9200000116893006
0.9542530179023743,0.9873349070549011,0.13397054374217987,0.9429763555526733,0.9671897292137146,0.9200000166893005,0.9487999677658081,0.3449348211288452,0.9200000166893005,0.9200000166893005,4.999999873689376e-05,0.9549295723348782,0.9200000116893006
